edad	ano	poblacion
0	2021	237485
1	2021	235380
2	2021	232698
3	2021	232977
4	2021	240355
5	2021	253783
6	2021	259286
7	2021	255103
8	2021	253727
9	2021	257251
10	2021	261503
11	2021	262813
12	2021	261239
13	2021	254675
14	2021	247390
15	2021	242698
16	2021	242620
17	2021	246540
18	2021	251565
19	2021	259382
20	2021	266643
21	2021	273756
22	2021	283395
23	2021	291567
24	2021	300768
25	2021	310246
26	2021	318988
27	2021	326663
28	2021	332641
29	2021	341333
30	2021	348912
31	2021	343528
32	2021	338009
33	2021	321178
34	2021	307851
35	2021	298657
36	2021	293724
37	2021	291770
38	2021	290265
39	2021	286689
40	2021	280255
41	2021	273917
42	2021	270158
43	2021	268754
44	2021	269088
45	2021	268587
46	2021	266068
47	2021	260328
48	2021	253588
49	2021	247710
50	2021	244691
51	2021	244147
52	2021	245405
53	2021	245947
54	2021	244820
55	2021	242282
56	2021	238883
57	2021	234587
58	2021	229184
59	2021	222668
60	2021	215503
61	2021	208478
62	2021	202331
63	2021	196578
64	2021	190654
65	2021	183906
66	2021	176668
67	2021	169205
68	2021	161590
69	2021	152966
70	2021	143648
71	2021	129832
72	2021	120013
73	2021	114500
74	2021	107347
75	2021	99567
76	2021	92332
77	2021	85583
78	2021	79607
79	2021	73865
80	2021	68375
81	2021	62863
82	2021	57395
83	2021	51928
84	2021	46500
85	2021	41516
86	2021	37071
87	2021	33277
88	2021	29818
89	2021	26522
90	2021	23249
91	2021	19957
92	2021	16691
93	2021	13490
94	2021	10581
95	2021	8115
96	2021	6041
97	2021	4400
98	2021	3134
99	2021	2206
100	2021	4941
